oyun_adi,puan,fiyat,yas_siniri,guncellenme_tarihi,indirilme_sayisi,tur_adi,URL
State of Survival: Zombie War,"4,3",0,16,3 Aralık 2025,,"Strateji, 4X",https://play.google.com/store/apps/details?id=com.kingsgroup.sos
Muhteşem Osmanlı,"3,6",0,12,21 Mayıs 2026,,"Strateji, 4X",https://play.google.com/store/apps/details?id=and.onemt.boe.tr
Rise of Castles: Ice and Fire,"4,5",0,12,24 Mart 2026,,"Strateji, 4X",https://play.google.com/store/apps/details?id=com.im30.ROE.gp
March of Empires: War Games,"3,7",0,16,1 Nisan 2026,,"Strateji, 4X",https://play.google.com/store/apps/details?id=com.gameloft.android.ANMP.GloftGHHM
Dead Cells,"4,8","220,00",16,3 Mayıs 2026,,"Aksiyon, Platform, Hack and slash, Basit",https://play.google.com/store/apps/details?id=com.playdigious.deadcells.mobile
Clash of Kings,"3,6",0,12,6 Mayıs 2026,,"Strateji, 4X",https://play.google.com/store/apps/details?id=com.hcg.cok.gp
Kingdom Rush Vengeance TD Game,"4,6","214,99",7,6 Nisan 2026,,"Strateji, Kule savunması, Basit",https://play.google.com/store/apps/details?id=com.ironhidegames.android.kingdomrush4
MONOPOLY,"3,7","219,99",3,17 Mart 2026,,"Masa, Soyut strateji, Basit",https://play.google.com/store/apps/details?id=com.marmalade.monopoly
Bloons TD 6,"4,8","144,99",3,31 Mart 2026,,"Strateji, Kule savunması",https://play.google.com/store/apps/details?id=com.ninjakiwi.bloonstd6
Evertale,"4,3","0,59",12,8 Mayıs 2026,,"Rol Yapma, Sıraya dayalı RYO, Basit",https://play.google.com/store/apps/details?id=com.zigzagame.evertale
Arrows – Puzzle Escape,"4,8",0,3,16 Mayıs 2026,,"Bulmaca, Mantık",https://play.google.com/store/apps/details?id=com.ecffri.arrows
Super Bear Adventure,"4,5",0,3,18 Mayıs 2026,,"Aksiyon, Aksiyon-macera, Basit",https://play.google.com/store/apps/details?id=com.Earthkwak.Platformer
Block Blast!,"4,6",0,3,19 Mayıs 2026,,"Bulmaca, Blok, Basit",https://play.google.com/store/apps/details?id=com.block.juggle
Color Block: Combo Blast,"4,3",0,3,10 Mayıs 2026,,"Bulmaca, Blok",https://play.google.com/store/apps/details?id=com.puzzlegames.puzzlebrickslegend
Block Crazy Robo World Craft,"4,2",0,7,20 Mart 2026,,"Simülasyon, Sandbox",https://play.google.com/store/apps/details?id=com.cliffs.pro.cell.building.crazy.clever.craft
Futbol Hakem Simülasyonu 3D,"4,1",0,3,12 Mayıs 2026,,"Spor, Futbol",https://play.google.com/store/apps/details?id=com.flatgames.football.referee.simulator
Paper.io 2,"3,9",0,3,10 Mayıs 2026,,"Aksiyon, IO oyun, Basit",https://play.google.com/store/apps/details?id=io.voodoo.paper2
Soccer Moccer,"3,6",0,3,18 Mayıs 2026,,Gündelik,https://play.google.com/store/apps/details?id=com.KetenGames.SoccerMoccer
Subway Surfers,"4,5",0,7,3 Mayıs 2026,,"Aksiyon, Platform, Koşucu, Arcade",https://play.google.com/store/apps/details?id=com.kiloo.subwaysurf
Royal Kingdom,"4,4",0,3,10 Mayıs 2026,,"Bulmaca, Üçlü Eşleme, Üçlü eşleştirme macerası, Basit",https://play.google.com/store/apps/details?id=com.dreamgames.royalkingdom
Perfect Makeover Cleaning ASMR,"4,6",0,3,20 Mayıs 2026,,Gündelik,https://play.google.com/store/apps/details?id=com.hmbl.perfect.makeover.cleaning.asmr
Döner Efsanesi,"4,7",0,3,12 Nisan 2026,,"Simülasyon, Zaman yönetimi, Basit",https://play.google.com/store/apps/details?id=com.company.shaw
Rebel Glam: Giydirme Makyaj,"4,4",0,3,18 Mayıs 2026,,Simülasyon,https://play.google.com/store/apps/details?id=dress.up.fashion.makeup.style.makeover.girl.rebel.queen
Stickman Partisi 2 3 4 Oyunlar,"4,5",0,3,4 Nisan 2026,,"Masa, Parti, Basit, Mini oyunlar",https://play.google.com/store/apps/details?id=com.PlayMax.playergames
2 3 4 kişilik oyunlar,"4,2",0,7,7 Mayıs 2026,,"Masa, Parti, Basit, Mini oyunlar",https://play.google.com/store/apps/details?id=com.ction.playergames
Mini Challenges: Calm Games,"4,8",0,3,9 Mayıs 2026,,Gündelik,https://play.google.com/store/apps/details?id=com.u1.relax.minigame3
Drive Mad,"4,6",0,3,19 Mayıs 2026,,Yarış,https://play.google.com/store/apps/details?id=com.martinmagni.drivemad
Soccer Superstar - Futbol,"4,5",0,3,13 Mayıs 2026,,"Spor, Futbol, Basit",https://play.google.com/store/apps/details?id=com.soccer.score.star
School Party Craft,"4,5",0,3,10 Mayıs 2026,,"Simülasyon, Sandbox, Basit",https://play.google.com/store/apps/details?id=com.candyroom.clubcraft
Süpermarket Mağaza Simülatörü,"3,7",0,3,21 Mayıs 2026,,"Simülasyon, Basit",https://play.google.com/store/apps/details?id=com.playspare.supermarket.store.simulator
Arrows GO! - Ok Bulmacası,"4,6",0,3,8 Mayıs 2026,,Bulmaca,https://play.google.com/store/apps/details?id=com.oakever.arrows
PK XD: Eğlence ve arkadaşlar,"4,6",0,3,21 Mayıs 2026,,"Simülasyon, Yaşam, Basit",https://play.google.com/store/apps/details?id=com.movile.playkids.pkxd
Football League 2026,"4,4",0,3,Football League 2026,,"Spor, Futbol, Basit",https://play.google.com/store/apps/details?id=com.football.soccer.league
Traffic Rider,"4,6",0,3,18 Mayıs 2026,,"Yarış, Bisiklet yarışı",https://play.google.com/store/apps/details?id=com.skgames.trafficrider
Block World - Craft City,"4,2",0,3,16 Nisan 2026,,Simülasyon,https://play.google.com/store/apps/details?id=com.diamond.city.house.best.building.craft.vip
Vita Mahjong,"4,7",0,3,10 Mayıs 2026,,"Bulmaca, İkili eşleme, Mahjong solitaire, Basit",https://play.google.com/store/apps/details?id=com.vitastudio.mahjong
Block Craft 3D：Simülatör Oyun,"4,2",0,12,2 Mayıs 2026,,"Simülasyon, Sandbox, Basit",https://play.google.com/store/apps/details?id=com.fungames.blockcraft
Obby Parkour - Koşucu Oyunu,"4,4",0,3,9 Mayıs 2026,,"Aksiyon, Platform, Basit",https://play.google.com/store/apps/details?id=com.CAYN.TowerOfHellObby
Red Ball 4,"4,6",0,3,17 Nisan 2026,,"Aksiyon, Platform, Arcade",https://play.google.com/store/apps/details?id=com.FDGEntertainment.redball4.gp
Magic Tiles 3™ - Piyano Oyunu,"4,2",0,3,7 Mayıs 2026,,"Müzik, Performans, Arcade",https://play.google.com/store/apps/details?id=com.youmusic.magictiles
Castle Busters,"4,6",0,12,20 Mayıs 2026,,"Aksiyon, Nişancı, Topçu nişan oyunları",https://play.google.com/store/apps/details?id=com.epicoro.castleclashers
Snake.io - Eğlence Yılan Oyunu,"4,2",0,3,19 Mayıs 2026,,"Aksiyon, IO oyun, Basit",https://play.google.com/store/apps/details?id=com.amelosinteractive.snake
Crazy Kick!,"4,3",0,3,4 Nisan 2026,,"Spor, Futbol, Basit",https://play.google.com/store/apps/details?id=com.orbitalknight.ridiculousfreekick
Konuşan Tom Arkadaşlarım,"4,3",0,3,13 Mayıs 2026,,"Simülasyon, Bakım, Evcil hayvan",https://play.google.com/store/apps/details?id=com.outfit7.mytalkingtomfriends
Bus Rush Fever!,"4,2",0,3,16 Mayıs 2026,,Bulmaca,https://play.google.com/store/apps/details?id=jp.co.goodroid.hyper.busflow
Şahin Tofaş Oyunu,"3,8",0,3,10 Mayıs 2026,,Simülasyon,https://play.google.com/store/apps/details?id=com.sahin.driftdriver.abadgamessimulator
Brain Test 5: Zorlu Bulmacalar,"4,7",0,3,14 Mayıs 2026,,"Bulmaca, Zeka oyunu",https://play.google.com/store/apps/details?id=com.unicostudio.braintest5
Kingshot,"4,4",0,3,17 Mayıs 2026,,"Strateji, Kule savunması",https://play.google.com/store/apps/details?id=com.run.tower.defense
Kedi Şövalyeleri: Boşta RPG,,,3,,,Rol yapma,https://play.google.com/store/apps/details?id=com.MonsterPlanet.CatIdleRpg
Servant of the Lake,,,12,,,Macera,https://play.google.com/store/apps/details?id=com.RustyLake.ServantOfTheLake
Mad Raccoon: Tower Defense,,,7,,,Strateji,https://play.google.com/store/apps/details?id=com.TeamSparta.MadDefense
Toy Survivor : The War,,,3,,,Strateji,https://play.google.com/store/apps/details?id=com.actionfit.toy.defense.aos
판타지타운,,,3,,,"Simülasyon, Yönetim, Çiftçilik",https://play.google.com/store/apps/details?id=com.arumgames.fantasytown
King of Solitaire: Word Puzzle,,,3,,,Bulmaca,https://play.google.com/store/apps/details?id=com.arumgames.solitareword
DIGIMON UP,,,3,,,Rol yapma,https://play.google.com/store/apps/details?id=com.bandainamcoent.dgup_ww
Merge City - İnternetsiz Oyun,,,3,,,Gündelik,https://play.google.com/store/apps/details?id=com.bigcool.puzzle.merge.city
Lumi Master,,,3,,,Gündelik,https://play.google.com/store/apps/details?id=com.bilibili.lumi
Hold on! Lord!,,,7,,,Simülasyon,https://play.google.com/store/apps/details?id=com.buffstudio.holdonlord
"Supremacy: Warhammer 40,000",,,16,,,"Strateji, Savaş oyunu",https://play.google.com/store/apps/details?id=com.bytro.warhammer40ksupremacy
Abyssal Soul - Card Roguelike,,,7,,,Kart,https://play.google.com/store/apps/details?id=com.chillyroom.containerofsoul.gp
Ruler of the Land: Fire dragon,,,7,,,Rol yapma,https://play.google.com/store/apps/details?id=com.cle.yulgang_gb
Star Sailors,,,12,,,"Rol Yapma, Sıraya dayalı RYO",https://play.google.com/store/apps/details?id=com.com2usholdings.starsailors.android.google.global.normal
OTR 2,,,3,,,Yarış,https://play.google.com/store/apps/details?id=com.dogbytegames.otrnext
Dynasty Warriors: Overlords,,,7,,,Aksiyon,https://play.google.com/store/apps/details?id=com.emagroups.zs
Warline: Sniper Strike,,,16,,,"Strateji, 4X",https://play.google.com/store/apps/details?id=com.farlightgames.warline.gp.global
PancitoMerge,,,3,,,Bulmaca,https://play.google.com/store/apps/details?id=com.fayerdev.pancitomerge
Dragonfall Kingdom,,,3,,,Strateji,https://play.google.com/store/apps/details?id=com.gamehollywood.dk
Delicious: Festival of Dreams,,,3,,,Simülasyon,https://play.google.com/store/apps/details?id=com.gamehouse.delicious22.restaurant.festival.story.cooking.simulation
Words of Wonders: Kelime Oyunu,"4,8",0,3,16 Mayıs 2026,,"Kelime, Arama",https://play.google.com/store/apps/details?id=com.fugo.wow
Critical Strike CS: Online FPS,"4,6",0,16,19 Nisan 2026,,"Aksiyon, Nişancı, Taktiğe dayalı nişancı",https://play.google.com/store/apps/details?id=com.critical.strike2
Drift Max Pro - Araba Yarışı,"4,7",0,3,21 Mayıs 2026,,"Yarış, Çarpışan araba, Drift",https://play.google.com/store/apps/details?id=com.tiramisu.driftmax2
TRT İbi: Matematik Yolculuğu,"3,8",0,3,28 Şubat 2026,,"Eğitim, Matematik, Basit",https://play.google.com/store/apps/details?id=com.trtcocuk.ibi
Cafeland - Restoran Oyunu,"4,5",0,3,9 Mart 2026,,"Simülasyon, Yönetim, Restoran",https://play.google.com/store/apps/details?id=com.gamegos.mobile.cafeland
Rally Horizon,"4,4",0,3,30 Nisan 2026,,"Yarış, Araba yarışı",https://play.google.com/store/apps/details?id=com.Graypow.RallyHorizon
Kelime Sörfü - Kelime Oyunu,"4,6",0,3,27 Şubat 2026,,"Kelime, Arama, Basit",https://play.google.com/store/apps/details?id=com.marulgames.wordsurf
Manor Cafe: Eşleştirme Oyunu,"4,6",0,3,3 Mayıs 2026,,"Bulmaca, Üçlü Eşleme, Üçlü eşleştirme macerası, Basit",https://play.google.com/store/apps/details?id=com.gamegos.mobile.manorcafe
Bulmacahane - Kelime Oyunu,"4,7",0,3,4 Nisan 2026,,"Kelime, Arama",https://play.google.com/store/apps/details?id=com.anloft.bulmacahane
hocus.,"4,6",0,3,6 Mart 2026,,"Bulmaca, Mantık, Basit",https://play.google.com/store/apps/details?id=air.com.gamebrain.hocus
Words of Wonders: Search,"4,5",0,3,22 Ocak 2022,,"Kelime, Arama",https://play.google.com/store/apps/details?id=com.fugo.wowsearch
Oddmar,"4,7",0,7,20 Mart 2026,,"Aksiyon, Platform, Hack and slash, Basit",https://play.google.com/store/apps/details?id=com.mobge.Oddmar
Supermarket Game,"4,2",0,3,22 Ocak 2026,,"Simülasyon, Basit",https://play.google.com/store/apps/details?id=com.bubadu.supermarket
Arrow Puzzle: Bulmaca Oyunları,"4,8",0,3,21 Mart 2026,,"Bulmaca, Mantık",https://play.google.com/store/apps/details?id=com.easybrain.arrow.puzzle.game
Ping Pong Fury,"4,5",0,3,5 Mayıs 2026,,Spor,https://play.google.com/store/apps/details?id=uk.co.yakuto.PingPongKing
Carrom Pool: Disc Game,"4,4",0,3,13 Mayıs 2026,,"Spor, Bilardo, Basit",https://play.google.com/store/apps/details?id=com.miniclip.carrom
Rally Fury -Ralli Araba Yarışı,"3,6",0,3,29 Mart 2026,,"Yarış, Araba yarışı",https://play.google.com/store/apps/details?id=com.refuelgames.rally
Color by Number: Boyama Oyunu,"4,5",0,3,19 Nisan 2026,,"Bulmaca, Boyama, Basit",https://play.google.com/store/apps/details?id=com.tfgco.apps.coloring.free.color.by.number
AFK Journey,"4,2",0,12,5 Mayıs 2026,,"Rol Yapma, Aksiyon-strateji, Basit",https://play.google.com/store/apps/details?id=com.farlightgames.igame.gp
Tile Match: Rescue Story,"3,8",0,3,16 Nisan 2026,,"Bulmaca, Üçlü Eşleme, Üçlü eşleştirme macerası",https://play.google.com/store/apps/details?id=com.tile.match.rescuestory.puzzle.game
Okları Dokun: Arrow Madness,"4,9",0,3,22 Nisan 2026,,Bulmaca,https://play.google.com/store/apps/details?id=com.arrow.madness.games.arrows.escape.puzzle.game
Piano Fun: Music Beat Game,,0,16,,,Müzik,https://play.google.com/store/apps/details?id=game.piano.fun.beat.music
Mahjong Spirit: Match Game,"4,0",0,3,7 Nisan 2026,,Gündelik,https://play.google.com/store/apps/details?id=mahjong.game.match.spirit.casual
Tile Land: Triple Match,"4,4",0,3,9 Mayıs 2026,,"Bulmaca, Üçlü Eşleme",https://play.google.com/store/apps/details?id=com.sohi.tileland.gp
Block Spark: Classic Puzzle,"4,7",0,3,7 Nisan 2026,,Gündelik,https://play.google.com/store/apps/details?id=com.sofish.blockspark.gp
Knit Madness - Yün Sıralama,"4,6",0,3,17 Mayıs 2026,,Bulmaca,https://play.google.com/store/apps/details?id=com.knit.madness.wool.thread.color.sort.match.puzzle
Gem Block Challenge,"4,2",0,3,,,Bulmaca,https://play.google.com/store/apps/details?id=com.color.gem.block.puzzle.game
Unscrew Family:Bolt Puzzle,"4,9",0,3,,,"Bulmaca, Mantık",https://play.google.com/store/apps/details?id=com.sofish.screwhome.gp
Seek & Find: Cozy Escapes,"5,0",0,3,,,Gündelik,https://play.google.com/store/apps/details?id=games.find.hidden.objects.puzzle
Star Blaster Offline Roguelike,"3,0",0,7,17 Mayıs 2026,,"Rol Yapma, Roguelike oyunlar",https://play.google.com/store/apps/details?id=com.starblaster.atwo.epl.gp
Block Puzzle Brick Smash,,0,3,,,Gündelik,https://play.google.com/store/apps/details?id=block.puzzle.brick.smash.game
Lös: Mystery Horror Game,,0,7,,,Macera,https://play.google.com/store/apps/details?id=com.DarkBuilds.Scary.House.Adventure.Horror.Games.Los
Arrow Valley: Archery Game,,0,3,,,Gündelik,https://play.google.com/store/apps/details?id=com.astrologicmedia.arrowvalley
Retro Road Racer - Car Racing,,0,3,,,Yarış,https://play.google.com/store/apps/details?id=com.astrologicmedia.retroracer
Solitaire Snake,,0,3,,,"Aksiyon, IO oyun",https://play.google.com/store/apps/details?id=com.cardclash.snake.cg
Tavern Tale,"3,9",0,3,30 Ocak 2026,,Rol Yapma,https://play.google.com/store/apps/details?id=com.chillyroom.hanksbar.gp
Digit Logic Match,,0,3,,,Bulmaca,https://play.google.com/store/apps/details?id=com.digit.logic.number.match.pair.puzzle
Outpost Stand: Alien Rush,,0,3,,,"Strateji, Kule savunması",https://play.google.com/store/apps/details?id=com.dtty.fortress.idle.survivor.defense.gp
Survival Defense: Zombie,,0,7,,,Strateji,https://play.google.com/store/apps/details?id=com.furywing.survival.defense
Benim Konuşan Tom'um 2,"4,2",0,3,9 Mayıs 2026,,"Simülasyon, Bakım, Evcil hayvan, Basit",https://play.google.com/store/apps/details?id=com.outfit7.mytalkingtom2
UNO!™,"4,2",0,3,17 Mayıs 2026,,"Kart, Kartları elden çıkarma, Basit",https://play.google.com/store/apps/details?id=com.matteljv.uno
Car Parking Multiplayer,"4,4",0,3,21 Mayıs 2026,,"Simülasyon, Araç, Park etme simülatörü, Basit",https://play.google.com/store/apps/details?id=com.olzhas.carparking.multyplayer
Avatar World ®,"4,6",0,3,14 Mayıs 2026,,"Rol Yapma, Basit",https://play.google.com/store/apps/details?id=com.pazugames.avatarworld
Hay Day,"4,5",0,3,16 Mayıs 2026,,"Simülasyon, Yönetim, Çiftçilik, Basit",https://play.google.com/store/apps/details?id=com.supercell.hayday
Kavun Kum Havuzu,"4,4",0,12,18 Mayıs 2026,,"Simülasyon, Sandbox",https://play.google.com/store/apps/details?id=com.studio27.MelonPlayground
Extreme Car Driving Simulator,"4,3",0,3,9 Mayıs 2026,,"Simülasyon, Araç, Araba simülasyonu, Basit",https://play.google.com/store/apps/details?id=com.aim.racing
Bebek Panda'nın Okul Otobüsü,"4,2",0,3,15 Mart 2026,,"Simülasyon, Yaşam Tarzı, Basit",https://play.google.com/store/apps/details?id=com.sinyee.babybus.taxi
"İyi Pizza, Güzel Pizza","4,5",0,3,14 Mayıs 2026,,"Simülasyon, Yönetim, Restoran",https://play.google.com/store/apps/details?id=com.tapblaze.pizzabusiness
Kalliu Game World,"4,6",0,3,12 Mayıs 2026,,"Simülasyon, Yaşam, Basit",https://play.google.com/store/apps/details?id=com.sinyee.babybus.gameworld.design.home.friends.fun.life.story
Maşa ile Koca Ayı: Yemek Oyunu,"4,5",0,3,19 Nisan 2026,,"Simülasyon, Basit",https://play.google.com/store/apps/details?id=com.devgame.masha.and.bear.pizzeria.games
Truck Simulator : Ultimate,"4,3",0,3,26 Nisan 2026,,"Simülasyon, Araç, Kamyon simülasyonu, Basit",https://play.google.com/store/apps/details?id=com.zuuks.truck.simulator.ultimate
Idle Death Tycoon: Money Inc.,"4,5",0,3,13 Eylül 2020,,"Simülasyon, Tıklama, Basit",https://play.google.com/store/apps/details?id=com.generagames.deathtycoon
Solitaire Farm Adventure,"4,1",0,3,18 Mayıs 2026,,"Simülasyon, Yönetim, Çiftçilik",https://play.google.com/store/apps/details?id=com.me2zen.tripeaks.v4.and
Train Station 3: Tren Oyunu,"4,1",0,3,3 Nisan 2026,,"Simülasyon, Yönetim, İş adamı",https://play.google.com/store/apps/details?id=com.pixelfederation.ts3.train.station.evolution.building.manager.tycoon.simulator
Evil Hunter Tycoon,"4,2",0,3,29 Kasım 2025,,"Simülasyon, Yönetim, İş adamı, Basit",https://play.google.com/store/apps/details?id=com.superplanet.evilhunter
Food Street,"4,3",0,3,22 Nisan 2026,,"Simülasyon, Yönetim, Restoran",https://play.google.com/store/apps/details?id=com.supersolid.honestfood
Gossip Harbor®: Merge & Story,"4,0",0,3,21 Mayıs 2026,,"Simülasyon, Yaşam Tarzı, Tasarım",https://play.google.com/store/apps/details?id=com.mergegames.gossipharbor
Car Simulator 2,"4,6",0,7,19 Mayıs 2026,,"Simülasyon, Araç, Araba simülasyonu, Basit",https://play.google.com/store/apps/details?id=com.oppanagames.car.simulator
FPS Strike Ops : Modern Arena,"4,4",0,12,21 Mayıs 2026,,"Aksiyon, Nişancı, Taktiğe dayalı nişancı",https://play.google.com/store/apps/details?id=com.ta.strike.ops
Snake Clash,"4,1",0,3,30 Nisan 2026,,"Aksiyon, IO oyun, Basit",https://play.google.com/store/apps/details?id=io.supercent.linkedcubic
Kooply Run™: Play and Create!,"4,0",0,3,21 Mayıs 2026,,"Aksiyon, Platform, Koşucu, Arcade",https://play.google.com/store/apps/details?id=com.creations.runnergame
Supreme Duelist Stickman,"4,4",0,7,17 Mayıs 2026,,"Aksiyon, Dövüş, Basit",https://play.google.com/store/apps/details?id=com.Neurononfire.SupremeDuelist
Geometry Dash Lite,"4,2",0,3,18 Mayıs 2026,,"Aksiyon, Platform, Koşucu, Arcade",https://play.google.com/store/apps/details?id=com.robtopx.geometryjumplite
Çöp Adam Savaşları,"4,8",0,12,20 Mayıs 2026,,"Strateji, Kule savunması, Basit",https://play.google.com/store/apps/details?id=com.maxgames.stickwarlegacy
Hole.io,"2,9",0,7,14 Mayıs 2026,,"Aksiyon, IO oyun, Basit",https://play.google.com/store/apps/details?id=io.voodoo.holeio
Spider Fighter 3: Action Game,"4,4",0,12,1 Nisan 2026,,"Aksiyon, Aksiyon-macera, Basit",https://play.google.com/store/apps/details?id=com.starplay.spider.fighter.openworld
Clash Royale,"4,3",0,7,22 Mayıs 2026,,"Strateji, Kule savunması",https://play.google.com/store/apps/details?id=com.supercell.clashroyale
Brain Test: Zeka Oyunları,"4,7",0,3,17 Mayıs 2026,,"Bulmaca, Zeka oyunu, Basit",https://play.google.com/store/apps/details?id=com.unicostudio.braintest
Big Helmets: Heroes of Destiny,"4,2",0,12,15 Nisan 2026,,"Rol Yapma, Sıraya dayalı RYO",https://play.google.com/store/apps/details?id=com.bighelmets.destiny
Shadow Knight: Gölge Ninja,"4,3",0,16,25 Nisan 2026,,"Rol Yapma, Aksiyon Rol Yapma",https://play.google.com/store/apps/details?id=com.fansipan.stickman.fight.shadow.knights
Age of Revenge: Heroes & Clans,"3,9",0,12,14 Mart 2023,,"Rol Yapma, Sıraya dayalı RYO, Basit",https://play.google.com/store/apps/details?id=com.fruitshake.fairyrpg
American Dad! Apocalypse Soon,"4,4",0,12,7 Nisan 2022,,"Strateji, Şehir kurma ve savaş, Basit",https://play.google.com/store/apps/details?id=com.my.ffs.simulator.americandad
StarSavior,"3,4",0,12,19 Mart 2026,,"Rol Yapma, Sıraya dayalı RYO",https://play.google.com/store/apps/details?id=com.studiobside.starMain
Tomb of the Mask: Labirent,"4,3",0,3,13 Mayıs 2026,,"Aksiyon, Platform, Basit",https://play.google.com/store/apps/details?id=com.playgendary.tom
101 Okey Yalla - Canlı & Sesli,"4,6",0,18,30 Nisan 2026,,"Masa, Soyut strateji, Basit",https://play.google.com/store/apps/details?id=com.yalla.okey101yalla
Stumble Guys,"4,6",0,3,21 Mayıs 2026,,"Aksiyon, Platform, Basit",https://play.google.com/store/apps/details?id=com.kitkagames.fallbuddies
MadOut 2: Araba RP Dünya,"4,0",0,18,12 Mayıs 2026,,"Aksiyon, Aksiyon-macera",https://play.google.com/store/apps/details?id=com.MadOut.BIG
Blood Strike Max,"4,2",0,12,19 Mayıs 2026,,"Aksiyon, Nişancı, Taktiğe dayalı nişancı",https://play.google.com/store/apps/details?id=com.netease.newspikeme
Among Us,"3,8",0,7,25 Nisan 2026,,"Strateji, Asimetrik savaş alanı",https://play.google.com/store/apps/details?id=com.innersloth.spacemafia
Okey,"4,5",0,3,5 Mayıs 2026,,"Masa, Soyut strateji, Basit",https://play.google.com/store/apps/details?id=com.ahoygames.okey
Cat Runner: Decorate Home,"4,1",0,3,28 Şubat 2026,,"Aksiyon, Platform, Koşucu",https://play.google.com/store/apps/details?id=com.solou.catendless.run
Dye Hard - Renkler Savaşı,"4,3",0,3,19 Mayıs 2026,,"Strateji, MOBA, Basit",https://play.google.com/store/apps/details?id=flexus.dye.hard
ARCANE RUSH: Auto Battler,"4,4",0,7,25 Ocak 2026,,"Kart, Kart savaşı",https://play.google.com/store/apps/details?id=com.alleylabs.battlegrounds
Fortnite,"3,5",0,12,19 Mayıs 2026,,"Aksiyon, Nişancı, Taktiğe dayalı nişancı",https://play.google.com/store/apps/details?id=com.epicgames.fortnite
Shoot Out: Silah Oyunları,"4,3",0,16,30 Nisan 2026,,"Aksiyon, Nişancı, Taktiğe dayalı nişancı",https://play.google.com/store/apps/details?id=com.freeplaysultanov.shootit
PUBG MOBILE LITE,"3,7",0,16,12 Mayıs 2026,,"Aksiyon, Nişancı, Taktiğe dayalı nişancı",https://play.google.com/store/apps/details?id=com.tencent.iglite
Konuşan Tom Kahraman Koşusu,"4,3",0,7,17 Mayıs 2026,,"Aksiyon, Platform, Koşucu, Arcade",https://play.google.com/store/apps/details?id=com.outfit7.herodash
Konuşan Tom Altın Peşinde,"4,3",0,7,14 Mayıs 2026,,"Aksiyon, Platform, Koşucu, Arcade",https://play.google.com/store/apps/details?id=com.outfit7.talkingtomgoldrun
Mob Control,"4,1",0,3,16 Mayıs 2026,,"Aksiyon, Basit, Çok basit",https://play.google.com/store/apps/details?id=com.vincentb.MobControl
Sniper 3D：Nişancılık Oyunları,"4,5",0,18,2 Mayıs 2026,,"Aksiyon, Nişancı, Keskin nişancı, Basit",https://play.google.com/store/apps/details?id=com.fungames.sniper3d
Hello Neighbor,"4,0",0,12,18 Mayıs 2026,,"Aksiyon, Aksiyon-macera, Hayatta kalma ve korku",https://play.google.com/store/apps/details?id=com.tinybuildgames.helloneighbor
Flex City: Online RP Car Game,"4,4",0,16,19 Mayıs 2026,,"Aksiyon, Aksiyon-macera",https://play.google.com/store/apps/details?id=com.jarvigames.viceonline
Payback 2 - The Battle Sandbox,"4,3",0,12,3 Mayıs 2026,,"Aksiyon, Aksiyon-macera, Basit",https://play.google.com/store/apps/details?id=net.apex_designs.payback2
Mahjong Blast,"4,8",0,3,7 Mayıs 2026,,"Bulmaca, İkili eşleme, Mahjong solitaire",https://play.google.com/store/apps/details?id=com.nebula.mahjongtile
Wordscapes,"2,9",0,3,19 Şubat 2024,,"Kelime, Arama",https://play.google.com/store/apps/details?id=com.peoplefun.wordcross
Virtual Regatta Offshore,"4,2",0,3,2 Aralık 2021,,"Yarış, Yarış simülatörü",https://play.google.com/store/apps/details?id=com.virtualregatta
Car Parking Multiplayer 2,"4,1",0,3,23 Nisan 2026,,"Simülasyon, Araç, Araba simülasyonu, Basit",https://play.google.com/store/apps/details?id=com.olzhas.carparking.multyplayer2
Satranç · Oyna & Öğren,"4,7",0,3,19 Mayıs 2026,,"Masa, Soyut strateji, Satranç, Basit",https://play.google.com/store/apps/details?id=com.chess
Solar Smash,"4,5",0,7,16 Mayıs 2026,,"Simülasyon, Basit",https://play.google.com/store/apps/details?id=com.paradyme.solarsmash
Okey Plus - En Kalabalık Okey!,"4,6",0,12,20 Mayıs 2026,,"Masa, Soyut strateji, Basit",https://play.google.com/store/apps/details?id=net.peakgames.OkeyPlus
Zen Word® - Bulmaca Oyunu,"4,8",0,3,20 Mayıs 2026,,"Kelime, Arama, Basit",https://play.google.com/store/apps/details?id=kidultlovin.word.zen
Words of Wonders: Guru,"4,8",0,3,1 Mayıs 2026,,"Kelime, Arama",https://play.google.com/store/apps/details?id=com.fugo.wowguru
QuizzLand: Trivia Test Oyunu,"4,8",0,3,19 Mayıs 2026,,"Bulmaca, Zeka oyunu, Zeka eğitimi",https://play.google.com/store/apps/details?id=com.xmonetize.quizzland
Kelime Ara Bulmaca,"4,8",0,3,16 Mayıs 2026,,"Kelime, Arama, Basit",https://play.google.com/store/apps/details?id=in.playsimple.wordsearch
Pure Sniper: 3D Silah Oyunları,"4,8",0,18,17 Mayıs 2026,,"Aksiyon, Nişancı, Keskin nişancı",https://play.google.com/store/apps/details?id=com.miniclip.realsniper
Araba Otopark Sürücü Okulu,"4,3",0,3,23 Nisan 2026,,"Simülasyon, Araç, Park etme simülatörü",https://play.google.com/store/apps/details?id=com.racinggames_city.car.racing_Free
Antistress - rahatlamak,"4,4",0,3,2 Mayıs 2026,,"Basit, Çok basit",https://play.google.com/store/apps/details?id=com.JindoBlu.Antistress
Asphalt Legends - Racing Game,"4,2",0,7,21 Mart 2026,,"Yarış, Araba yarışı",https://play.google.com/store/apps/details?id=com.gameloft.android.ANMP.GloftA9HM
